,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
7982,2014-12-23,N,Siena,MAAC,Cornell,Home,False,75,57,18,2014-15,Ivy
5670,2014-11-25,N,Syracuse,ACC,Loyola MD,Home,True,70,37,33,2014-15,Pat
32516,2022-11-11,N,Auburn,SEC,South Florida,Home,True,67,59,8,2022-23,Amer
32517,2022-11-11,N,Boston College,ACC,Detroit Mercy,Home,True,70,66,4,2022-23,Horz
6801,2014-12-07,N,Nevada,MWC,California,Home,False,63,56,7,2014-15,P12
33914,2022-11-26,N,George Washington,A10,New Hampshire,Home,True,75,54,21,2022-23,AE
32518,2022-11-11,N,Dartmouth,Ivy,Bryant,Home,False,89,70,19,2022-23,AE
7348,2014-12-17,N,Baylor,B12,New Mexico St.,Home,True,66,55,11,2014-15,WAC
32524,2022-11-11,N,Oregon St.,P12,Florida A&M,Home,True,60,43,17,2022-23,SWAC
6803,2014-12-07,N,Nebraska,B10,Creighton,Home,False,65,55,10,2014-15,BE
32871,2022-11-16,N,Detroit Mercy,Horz,Ohio,Home,True,88,74,14,2022-23,MAC
33913,2022-11-26,N,Missouri,SEC,Houston Christian,Home,True,105,69,36,2022-23,Slnd
32526,2022-11-11,N,Illinois Chicago,MVC,Loyola Chicago,Home,False,70,63,7,2022-23,A10
8232,2014-12-30,N,Ohio,MAC,UNC Wilmington,Home,True,72,53,19,2014-15,CAA
33911,2022-11-26,N,Wake Forest,ACC,Hampton,Home,True,97,70,27,2022-23,CAA
33917,2022-11-26,N,Miami OH,MAC,Little Rock,Home,True,80,67,13,2022-23,OVC
33918,2022-11-26,N,Navy,Pat,Mount St. Mary's,Home,True,75,59,16,2022-23,MAAC
7349,2014-12-17,N,Youngstown St.,Horz,Kennesaw St.,Home,False,90,84,6,2014-15,ASun
33572,2022-11-22,N,Arkansas St.,SB,Tennessee Martin,Home,True,70,64,6,2022-23,OVC
6786,2014-12-07,N,Cleveland St.,Horz,Western Illinois,Home,True,76,54,22,2014-15,Sum
32872,2022-11-16,N,Houston,Amer,Texas Southern,Home,True,83,48,35,2022-23,SWAC
32509,2022-11-11,N,Washington,P12,North Florida,Home,True,75,67,8,2022-23,ASun
6788,2014-12-07,N,San Francisco,WCC,Houston Christian,Home,True,85,54,31,2014-15,Slnd
33923,2022-11-26,N,Liberty,ASun,Delaware St.,Home,True,80,53,27,2022-23,MEAC
32510,2022-11-11,N,Oklahoma,B12,Arkansas Pine Bluff,Home,True,66,58,8,2022-23,SWAC
7112,2014-12-13,N,UT Rio Grande Valley,WAC,Lamar,Home,True,66,60,6,2014-15,Slnd
6791,2014-12-07,N,Georgia,SEC,Colorado,Home,True,64,57,7,2014-15,P12
6807,2014-12-07,N,James Madison,CAA,Richmond,Home,True,51,46,5,2014-15,A10
6792,2014-12-07,N,Oregon,P12,Mississippi,Home,False,79,73,6,2014-15,SEC
6794,2014-12-07,N,Massachusetts,A10,Florida Gulf Coast,Home,False,84,75,9,2014-15,ASun
8229,2014-12-30,N,Tennessee Martin,OVC,Maryland Eastern Sho,Home,False,63,60,3,2014-15,MEAC
8230,2014-12-30,N,Akron,MAC,Marshall,Home,True,70,63,7,2014-15,CUSA
7351,2014-12-17,N,Campbell,BSth,SIU Edwardsville,Home,True,70,65,5,2014-15,OVC
7109,2014-12-13,N,IU Indy,Sum,Eastern Kentucky,Home,False,73,64,9,2014-15,OVC
